Unit ID,Unit Name,Faction,Movement,Toughness,Save,Invunl Save,Wounds,Leadership,OC,Points,Model Count
2524,Anathema Psykana Rhino,Adeptus Custodes,12.0,9.0,3.0,,10.0,6.0,2.0,75.0,1
838,Belisarius Cawl,Adeptus Mechanicus,8.0,8.0,2.0,4.0,10.0,6.0,3.0,175.0,1
839,Tech-priest Dominus,Adeptus Mechanicus,6.0,4.0,2.0,5.0,4.0,7.0,1.0,65.0,1
840,Tech-priest Enginseer,Adeptus Mechanicus,6.0,4.0,3.0,5.0,3.0,7.0,1.0,55.0,1
841,Kataphron Breachers,Adeptus Mechanicus,5.0,7.0,3.0,6.0,3.0,7.0,1.0,320.0,6
842,Kataphron Destroyers,Adeptus Mechanicus,5.0,6.0,3.0,6.0,3.0,7.0,1.0,210.0,6
843,Fulgurite Electro-priests,Adeptus Mechanicus,6.0,3.0,7.0,5.0,1.0,7.0,1.0,140.0,10
844,Corpuscarii Electro-priests,Adeptus Mechanicus,6.0,3.0,7.0,5.0,1.0,7.0,1.0,130.0,10
845,Kastelan Robots,Adeptus Mechanicus,6.0,9.0,2.0,5.0,7.0,7.0,2.0,360.0,4
846,Cybernetica Datasmith,Adeptus Mechanicus,6.0,4.0,2.0,5.0,3.0,7.0,1.0,35.0,1
847,Servitors,Adeptus Mechanicus,6.0,3.0,4.0,6.0,1.0,8.0,0.0,50.0,4
848,Skitarii Rangers,Adeptus Mechanicus,6.0,3.0,4.0,5.0,1.0,7.0,2.0,85.0,9
849,Skitarii Vanguard,Adeptus Mechanicus,6.0,3.0,4.0,5.0,1.0,7.0,2.0,95.0,9
850,Sicarian Infiltrators,Adeptus Mechanicus,8.0,4.0,4.0,5.0,2.0,7.0,1.0,140.0,9
851,Sicarian Ruststalkers,Adeptus Mechanicus,8.0,4.0,4.0,5.0,2.0,7.0,1.0,150.0,9
852,Ironstrider Ballistarii,Adeptus Mechanicus,10.0,7.0,3.0,5.0,7.0,7.0,2.0,225.0,3
853,Sydonian Dragoons With Taser Lances,Adeptus Mechanicus,10.0,7.0,3.0,5.0,7.0,7.0,2.0,195.0,3
854,Onager Dunecrawler,Adeptus Mechanicus,8.0,10.0,2.0,4.0,11.0,7.0,3.0,155.0,1
1525,Secutarii Hoplites,Adeptus Mechanicus,6.0,3.0,5.0,4.0,1.0,7.0,1.0,130.0,9
1526,Secutarii Peltasts,Adeptus Mechanicus,6.0,3.0,5.0,6.0,1.0,7.0,1.0,100.0,9
1533,Terrax-pattern Termite,Adeptus Mechanicus,8.0,10.0,3.0,,14.0,6.0,2.0,200.0,1
1580,Tech-priest Manipulus,Adeptus Mechanicus,6.0,4.0,2.0,5.0,4.0,7.0,1.0,60.0,1
1650,Skorpius Dunerider,Adeptus Mechanicus,12.0,9.0,3.0,,11.0,7.0,2.0,85.0,1
1651,Skorpius Disintegrator,Adeptus Mechanicus,10.0,10.0,2.0,,12.0,7.0,3.0,165.0,1
1822,X-101,Adeptus Mechanicus,6.0,3.0,4.0,,3.0,8.0,0.0,40.0,101
2081,Serberys Sulphurhounds,Adeptus Mechanicus,12.0,4.0,4.0,5.0,2.0,7.0,2.0,110.0,5
2082,Serberys Raiders,Adeptus Mechanicus,12.0,4.0,4.0,5.0,2.0,7.0,2.0,120.0,5
2083,Pteraxii Sterylizors,Adeptus Mechanicus,12.0,4.0,4.0,5.0,2.0,7.0,1.0,160.0,9
2084,Pteraxii Skystalkers,Adeptus Mechanicus,12.0,4.0,4.0,5.0,2.0,7.0,1.0,140.0,9
2085,Archaeopter Transvector,Adeptus Mechanicus,20.0,9.0,3.0,,10.0,7.0,0.0,150.0,1
2086,Archaeopter Stratoraptor,Adeptus Mechanicus,20.0,9.0,3.0,,10.0,7.0,0.0,185.0,1
2087,Archaeopter Fusilave,Adeptus Mechanicus,20.0,9.0,3.0,,10.0,7.0,0.0,160.0,1
2477,Technoarcheologist,Adeptus Mechanicus,6.0,4.0,3.0,5.0,3.0,7.0,1.0,45.0,1
2478,Skitarii Marshal,Adeptus Mechanicus,6.0,3.0,4.0,5.0,3.0,6.0,1.0,35.0,1
3694,Sydonian Dragoons With Radium Jezzails,Adeptus Mechanicus,10.0,7.0,3.0,5.0,7.0,7.0,2.0,150.0,3
3695,Sydonian Skatros,Adeptus Mechanicus,8.0,4.0,4.0,5.0,4.0,7.0,1.0,50.0,1
4119,Servitor Battleclade,Adeptus Mechanicus,6.0,4.0,4.0,6.0,2.0,7.0,1.0,60.0,6
568,Eldrad Ulthran,Aeldari,7.0,4.0,6.0,4.0,5.0,6.0,1.0,110.0,1
569,Prince Yriel,Aeldari,7.0,3.0,3.0,4.0,4.0,6.0,1.0,100.0,1
570,Illic Nightspear,Aeldari,7.0,3.0,5.0,5.0,3.0,6.0,1.0,70.0,1
571,Asurmen,Aeldari,7.0,3.0,2.0,4.0,5.0,6.0,1.0,125.0,1
572,Jain Zar,Aeldari,8.0,3.0,2.0,4.0,5.0,6.0,1.0,105.0,1
573,Karandras,Aeldari,7.0,3.0,2.0,4.0,5.0,6.0,1.0,90.0,1
574,Fuegan,Aeldari,7.0,3.0,2.0,4.0,5.0,6.0,1.0,120.0,1
575,Baharroth,Aeldari,14.0,3.0,2.0,4.0,5.0,6.0,1.0,115.0,1
576,Maugan Ra,Aeldari,7.0,3.0,2.0,4.0,5.0,6.0,1.0,100.0,1
577,Autarch,Aeldari,7.0,3.0,3.0,4.0,4.0,6.0,1.0,85.0,1
580,Autarch Skyrunner,Aeldari,14.0,4.0,3.0,4.0,5.0,6.0,2.0,90.0,1
581,Avatar of Khaine,Aeldari,10.0,11.0,2.0,4.0,14.0,6.0,5.0,280.0,1
582,Farseer,Aeldari,7.0,3.0,6.0,4.0,4.0,6.0,1.0,70.0,1
583,Farseer Skyrunner,Aeldari,14.0,4.0,6.0,4.0,5.0,6.0,2.0,80.0,1
584,Warlock Conclave,Aeldari,7.0,3.0,6.0,4.0,2.0,6.0,1.0,130.0,4
585,Warlock,Aeldari,7.0,3.0,6.0,4.0,2.0,6.0,1.0,45.0,1
587,Warlock Skyrunners,Aeldari,14.0,4.0,6.0,4.0,3.0,6.0,2.0,90.0,2
588,Spiritseer,Aeldari,7.0,3.0,6.0,4.0,3.0,6.0,1.0,65.0,1
589,Guardian Defenders,Aeldari,7.0,3.0,4.0,,2.0,7.0,0.0,100.0,10
590,Storm Guardians,Aeldari,7.0,3.0,4.0,,2.0,7.0,0.0,100.0,10
591,Windriders,Aeldari,14.0,4.0,4.0,6.0,2.0,7.0,2.0,160.0,6
592,Rangers,Aeldari,7.0,3.0,5.0,5.0,1.0,7.0,1.0,110.0,10
593,Dire Avengers,Aeldari,7.0,3.0,4.0,5.0,2.0,6.0,1.0,150.0,9
594,Howling Banshees,Aeldari,8.0,3.0,4.0,5.0,2.0,6.0,1.0,190.0,9
595,Striking Scorpions,Aeldari,7.0,3.0,3.0,5.0,2.0,6.0,1.0,150.0,9
596,Fire Dragons,Aeldari,7.0,3.0,3.0,5.0,2.0,6.0,1.0,220.0,9
597,Wraithguard,Aeldari,6.0,6.0,2.0,,3.0,8.0,1.0,170.0,5
598,Wraithblades,Aeldari,6.0,6.0,2.0,,3.0,8.0,1.0,160.0,5
599,Wave Serpent,Aeldari,14.0,9.0,3.0,5.0,13.0,7.0,2.0,125.0,1
600,Swooping Hawks,Aeldari,14.0,3.0,4.0,5.0,2.0,6.0,1.0,190.0,9
601,Warp Spiders,Aeldari,12.0,3.0,3.0,5.0,2.0,6.0,1.0,190.0,9
602,Shining Spears,Aeldari,14.0,4.0,3.0,5.0,3.0,6.0,2.0,220.0,5
603,Crimson Hunter,Aeldari,20.0,8.0,3.0,5.0,12.0,6.0,0.0,160.0,1
605,Vypers,Aeldari,14.0,6.0,3.0,,6.0,7.0,2.0,130.0,2
606,Hemlock Wraithfighter,Aeldari,20.0,8.0,3.0,,12.0,6.0,0.0,155.0,1
607,Dark Reapers,Aeldari,6.0,3.0,3.0,5.0,2.0,6.0,1.0,195.0,9
609,Falcon,Aeldari,14.0,9.0,3.0,,12.0,7.0,3.0,130.0,1
610,Fire Prism,Aeldari,14.0,9.0,3.0,,12.0,7.0,3.0,150.0,1
611,Night Spinner,Aeldari,14.0,9.0,3.0,,12.0,7.0,3.0,190.0,1
612,War Walkers,Aeldari,10.0,7.0,3.0,5.0,6.0,7.0,2.0,170.0,2
613,Wraithlord,Aeldari,8.0,10.0,2.0,,10.0,8.0,3.0,140.0,1
614,Wraithknight,Aeldari,12.0,12.0,2.0,,18.0,6.0,10.0,435.0,1
615,Shadow Spectres,Aeldari,12.0,3.0,3.0,5.0,2.0,6.0,1.0,230.0,10
616,Wasp Assault Walker,Aeldari,10.0,7.0,3.0,4.0,6.0,6.0,2.0,95.0,1
617,Wraithseer,Aeldari,8.0,11.0,2.0,5.0,10.0,6.0,3.0,160.0,1
618,Hornet,Aeldari,14.0,7.0,3.0,,8.0,6.0,2.0,100.0,1
619,Warp Hunter,Aeldari,14.0,9.0,3.0,,12.0,6.0,3.0,145.0,1
620,Lynx,Aeldari,14.0,9.0,3.0,5.0,16.0,6.0,4.0,180.0,1
621,Scorpion,Aeldari,14.0,11.0,2.0,5.0,24.0,6.0,8.0,410.0,1
622,Cobra,Aeldari,14.0,11.0,2.0,5.0,24.0,6.0,8.0,415.0,1
623,Nightwing,Aeldari,20.0,8.0,3.0,5.0,12.0,6.0,0.0,150.0,1
624,Phoenix,Aeldari,20.0,9.0,3.0,,16.0,6.0,0.0,175.0,1
625,Vampire Raider,Aeldari,20.0,12.0,3.0,4.0,30.0,6.0,0.0,430.0,1
626,Vampire Hunter,Aeldari,20.0,12.0,3.0,4.0,30.0,6.0,0.0,460.0,1
627,Skathach Wraithknight,Aeldari,10.0,12.0,2.0,,18.0,6.0,10.0,490.0,1
628,Revenant Titan,Aeldari,16.0,13.0,2.0,4.0,30.0,6.0,16.0,1100.0,1
629,Corsair Cloud Dancer Band,Aeldari,14.0,4.0,3.0,,2.0,6.0,2.0,245.0,6
630,Irillyth,Aeldari,12.0,3.0,2.0,4.0,5.0,6.0,1.0,105.0,1
631,Phantom Titan,Aeldari,14.0,14.0,2.0,4.0,55.0,6.0,20.0,2100.0,1
632,Corsair Reaver Band,Aeldari,7.0,3.0,5.0,,3.0,6.0,2.0,275.0,10
633,Corsair Skyreaver Band,Aeldari,14.0,3.0,5.0,,3.0,6.0,1.0,275.0,10
1393,Firestorm,Aeldari,14.0,9.0,3.0,,12.0,6.0,3.0,115.0,1
1400,Bonesinger,Aeldari,7.0,3.0,6.0,4.0,3.0,6.0,1.0,45.0,1
1598,Amallyn Shadowguide,Aeldari,7.0,3.0,5.0,4.0,3.0,6.0,1.0,75.0,1
2459,Webway Gate,Aeldari,,12.0,3.0,,14.0,6.0,0.0,105.0,2
2531,Corsair Voidreavers,Aeldari,7.0,3.0,4.0,,1.0,7.0,2.0,110.0,9
2532,Corsair Voidscarred,Aeldari,7.0,3.0,4.0,,1.0,7.0,1.0,160.0,10
2533,Shroud Runners,Aeldari,14.0,4.0,5.0,5.0,3.0,7.0,2.0,160.0,6
2534,Aeldari Troupe Master,Aeldari,8.0,3.0,6.0,4.0,4.0,6.0,1.0,75.0,1
2535,Shadowseer,Aeldari,8.0,3.0,6.0,4.0,4.0,6.0,1.0,60.0,1
2536,Aeldari Troupe,Aeldari,8.0,3.0,6.0,4.0,1.0,6.0,1.0,205.0,11
2537,Death Jester,Aeldari,8.0,3.0,6.0,4.0,4.0,6.0,1.0,90.0,1
2538,Solitaire,Aeldari,12.0,3.0,6.0,4.0,4.0,6.0,1.0,115.0,1
2539,Skyweavers,Aeldari,14.0,4.0,4.0,4.0,3.0,6.0,2.0,190.0,4
2540,Voidweaver,Aeldari,14.0,6.0,4.0,4.0,6.0,6.0,2.0,125.0,1
2541,Starweaver,Aeldari,14.0,6.0,4.0,4.0,6.0,6.0,2.0,80.0,1
2542,Yvraine,Aeldari,8.0,3.0,6.0,4.0,4.0,6.0,1.0,100.0,1
2543,The Visarch,Aeldari,8.0,3.0,2.0,4.0,5.0,6.0,1.0,90.0,1
2544,The Yncarne,Aeldari,10.0,10.0,2.0,4.0,12.0,6.0,3.0,260.0,1
2759,Autarch Wayleaper,Aeldari,14.0,3.0,3.0,4.0,4.0,6.0,1.0,80.0,1
3909,Lhykhis,Aeldari,12.0,3.0,2.0,4.0,5.0,6.0,1.0,120.0,1
3910,D-cannon Platform,Aeldari,7.0,6.0,4.0,,5.0,7.0,1.0,125.0,1
3911,Shadow Weaver Platform,Aeldari,7.0,6.0,4.0,,5.0,7.0,1.0,75.0,1
3912,Vibro Cannon Platform,Aeldari,7.0,6.0,4.0,,5.0,7.0,1.0,60.0,1
3913,Wraithknight with Ghostglaive,Aeldari,12.0,12.0,2.0,,18.0,6.0,10.0,420.0,1
3914,Ynnari Archon,Aeldari,8.0,3.0,4.0,2.0,4.0,6.0,1.0,85.0,1
3915,Ynnari Succubus,Aeldari,8.0,3.0,6.0,4.0,4.0,6.0,1.0,45.0,1
3916,Ynnari Kabalite Warriors,Aeldari,8.0,3.0,4.0,6.0,1.0,6.0,2.0,110.0,9
3917,Ynnari Wyches,Aeldari,8.0,3.0,6.0,6.0,1.0,6.0,2.0,90.0,9
3918,Ynnari Incubi,Aeldari,7.0,3.0,3.0,5.0,2.0,6.0,1.0,170.0,9
3919,Ynnari Reavers,Aeldari,16.0,4.0,4.0,6.0,2.0,6.0,2.0,120.0,5
3920,Ynnari Raider,Aeldari,14.0,8.0,4.0,6.0,10.0,6.0,2.0,80.0,1
3921,Ynnari Venom,Aeldari,14.0,6.0,4.0,6.0,6.0,6.0,1.0,70.0,1
680,Leman Russ Commander,Astra Militarum,10.0,11.0,2.0,,13.0,7.0,3.0,235.0,1
686,Cadian Heavy Weapons Squad,Astra Militarum,6.0,3.0,5.0,,2.0,7.0,2.0,65.0,3
690,Scout Sentinels,Astra Militarum,10.0,7.0,3.0,,7.0,7.0,2.0,110.0,2
691,Armoured Sentinels,Astra Militarum,8.0,8.0,2.0,,7.0,7.0,2.0,130.0,2
692,Chimera,Astra Militarum,10.0,9.0,3.0,,11.0,7.0,2.0,85.0,1
693,Taurox,Astra Militarum,12.0,8.0,3.0,,10.0,7.0,2.0,75.0,1
694,Hellhound,Astra Militarum,10.0,10.0,2.0,,11.0,7.0,3.0,125.0,1
695,Basilisk,Astra Militarum,10.0,9.0,3.0,,11.0,7.0,3.0,140.0,1
696,Hydra,Astra Militarum,10.0,9.0,3.0,,11.0,7.0,3.0,95.0,1
697,Wyvern,Astra Militarum,10.0,9.0,3.0,,11.0,7.0,3.0,110.0,1
698,Manticore,Astra Militarum,10.0,10.0,3.0,,11.0,7.0,3.0,165.0,1
699,Deathstrike,Astra Militarum,10.0,10.0,3.0,,11.0,7.0,3.0,145.0,1
700,Leman Russ Battle Tank,Astra Militarum,10.0,11.0,2.0,,13.0,7.0,3.0,185.0,1
701,Leman Russ Demolisher,Astra Militarum,10.0,11.0,2.0,,13.0,7.0,3.0,190.0,1
702,Baneblade,Astra Militarum,12.0,13.0,2.0,,24.0,7.0,8.0,450.0,1
703,Banehammer,Astra Militarum,12.0,13.0,2.0,,24.0,7.0,8.0,420.0,1
704,Banesword,Astra Militarum,12.0,13.0,2.0,,24.0,7.0,8.0,450.0,1
705,Doomhammer,Astra Militarum,12.0,13.0,2.0,,24.0,7.0,8.0,415.0,1
706,Hellhammer,Astra Militarum,12.0,13.0,2.0,,24.0,7.0,8.0,420.0,1
707,Shadowsword,Astra Militarum,12.0,13.0,2.0,,24.0,7.0,8.0,410.0,1
708,Stormlord,Astra Militarum,12.0,13.0,2.0,,24.0,7.0,8.0,430.0,1
709,Stormsword,Astra Militarum,12.0,13.0,2.0,,24.0,7.0,8.0,465.0,1
713,‘Iron Hand’ Straken,Astra Militarum,6.0,3.0,3.0,4.0,4.0,7.0,1.0,55.0,1
714,Sergeant Harker,Astra Militarum,6.0,4.0,5.0,,3.0,7.0,1.0,40.0,1
716,Commissar,Astra Militarum,6.0,3.0,5.0,5.0,3.0,6.0,1.0,30.0,1
719,Militarum Tempestus Command Squad,Astra Militarum,6.0,3.0,4.0,,3.0,7.0,1.0,85.0,4
721,Taurox Prime,Astra Militarum,12.0,8.0,3.0,,10.0,7.0,2.0,90.0,1
722,Ogryn Squad,Astra Militarum,6.0,6.0,5.0,,3.0,7.0,1.0,130.0,5
723,Bullgryn Squad,Astra Militarum,6.0,6.0,3.0,,3.0,7.0,1.0,200.0,5
724,Ratlings,Astra Militarum,6.0,2.0,6.0,,1.0,8.0,1.0,100.0,10
725,Nork Deddog,Astra Militarum,6.0,6.0,4.0,,6.0,7.0,1.0,60.0,1
727,Valkyrie,Astra Militarum,20.0,10.0,2.0,,14.0,7.0,0.0,190.0,1
728,Atlas Recovery Vehicle,Astra Militarum,10.0,9.0,3.0,,10.0,7.0,3.0,80.0,1
729,Salamander Command Vehicle,Astra Militarum,12.0,8.0,3.0,,10.0,7.0,3.0,80.0,1
730,Hades Breaching Drill,Astra Militarum,6.0,9.0,3.0,,8.0,7.0,2.0,110.0,1
731,Centaur Light Carrier,Astra Militarum,10.0,7.0,3.0,,7.0,7.0,1.0,40.0,1
733,Trojan Support Vehicle,Astra Militarum,10.0,9.0,3.0,,11.0,7.0,2.0,80.0,1
735,Salamander Scout Vehicle,Astra Militarum,12.0,8.0,3.0,,10.0,7.0,3.0,95.0,1
736,Tauros Assault Vehicle,Astra Militarum,12.0,6.0,4.0,,6.0,7.0,2.0,50.0,1
737,Tauros Venator,Astra Militarum,12.0,6.0,4.0,,6.0,7.0,2.0,55.0,1
739,Armageddon-pattern Medusa,Astra Militarum,10.0,9.0,3.0,,11.0,7.0,3.0,105.0,1
740,Colossus,Astra Militarum,10.0,10.0,2.0,,11.0,7.0,3.0,160.0,1
741,Cyclops Demolition Vehicle,Astra Militarum,8.0,4.0,3.0,,4.0,8.0,0.0,25.0,1
743,Earthshaker Carriage Battery,Astra Militarum,4.0,7.0,4.0,,6.0,7.0,2.0,120.0,1
744,Griffon Mortar Carrier,Astra Militarum,10.0,9.0,3.0,,11.0,7.0,3.0,115.0,1
745,Heavy Mortar Team,Astra Militarum,4.0,5.0,3.0,,4.0,7.0,2.0,50.0,1
746,Heavy Quad Launcher Team,Astra Militarum,4.0,5.0,3.0,,4.0,7.0,2.0,50.0,1
747,Hydra Platform,Astra Militarum,,8.0,3.0,,8.0,7.0,2.0,95.0,1
751,Malcador Annihilator,Astra Militarum,10.0,11.0,2.0,,18.0,7.0,5.0,270.0,1
752,Malcador Defender,Astra Militarum,10.0,11.0,2.0,,18.0,7.0,5.0,310.0,1
753,Malcador,Astra Militarum,10.0,11.0,2.0,,18.0,7.0,5.0,250.0,1
754,Malcador Infernus,Astra Militarum,10.0,11.0,2.0,,18.0,7.0,5.0,235.0,1
755,Manticore Platform,Astra Militarum,,8.0,3.0,,8.0,7.0,2.0,95.0,1
756,Medusa Carriage Battery,Astra Militarum,4.0,7.0,4.0,,6.0,7.0,2.0,125.0,1
757,Rapier Laser Destroyer Battery,Astra Militarum,6.0,4.0,4.0,,3.0,7.0,1.0,105.0,3
758,Sabre Weapons Battery,Astra Militarum,,4.0,4.0,,4.0,7.0,1.0,90.0,2
759,Sentinel Powerlifter,Astra Militarum,8.0,7.0,3.0,,6.0,7.0,2.0,55.0,1
760,Stygies Destroyer Tank Hunter,Astra Militarum,10.0,11.0,2.0,,13.0,7.0,3.0,180.0,1
762,Tarantula Battery,Astra Militarum,,5.0,3.0,,4.0,7.0,0.0,120.0,3
763,Stormblade,Astra Militarum,9.0,13.0,2.0,,24.0,7.0,8.0,415.0,1
764,Arkurian Stormhammer,Astra Militarum,9.0,13.0,2.0,,24.0,7.0,8.0,480.0,1
766,Crassus,Astra Militarum,10.0,11.0,2.0,,18.0,7.0,5.0,180.0,1
767,Dominus Armoured Siege Bombard,Astra Militarum,9.0,13.0,2.0,,20.0,7.0,8.0,325.0,1
768,Gorgon Heavy Transport,Astra Militarum,9.0,13.0,2.0,5.0,20.0,7.0,8.0,275.0,1
769,Macharius,Astra Militarum,9.0,13.0,2.0,,20.0,7.0,8.0,310.0,1
770,Macharius Omega,Astra Militarum,9.0,13.0,2.0,,20.0,7.0,8.0,310.0,1
771,Macharius Vanquisher,Astra Militarum,9.0,13.0,2.0,,20.0,7.0,8.0,285.0,1
772,Macharius Vulcan,Astra Militarum,9.0,13.0,2.0,,20.0,7.0,8.0,310.0,1
773,Marauder Bomber,Astra Militarum,20.0,10.0,2.0,,20.0,7.0,0.0,345.0,1
774,Marauder Destroyer,Astra Militarum,20.0,10.0,2.0,,20.0,7.0,0.0,375.0,1
775,Minotaur,Astra Militarum,10.0,11.0,2.0,,18.0,7.0,5.0,225.0,1
776,Praetor,Astra Militarum,10.0,11.0,2.0,,18.0,7.0,5.0,275.0,1
777,Valdor,Astra Militarum,9.0,13.0,2.0,,20.0,7.0,8.0,285.0,1
778,Aquila Lander,Astra Militarum,20.0,9.0,3.0,,12.0,7.0,0.0,120.0,1
779,Arvus Lighter,Astra Militarum,20.0,8.0,3.0,,8.0,7.0,0.0,95.0,1
780,Avenger Strike Fighter,Astra Militarum,20.0,9.0,3.0,,14.0,7.0,0.0,130.0,1
781,Voss-pattern Lightning,Astra Militarum,20.0,9.0,3.0,,14.0,7.0,0.0,130.0,1
783,Vendetta Gunship,Astra Militarum,20.0,10.0,2.0,,14.0,7.0,0.0,255.0,1
784,Vulture Gunship,Astra Militarum,20.0,10.0,2.0,,14.0,7.0,0.0,225.0,1
889,Primaris Psyker,Astra Militarum,6.0,3.0,5.0,,3.0,7.0,1.0,60.0,1
1237,Valkyrie Sky Talon,Astra Militarum,20.0,10.0,2.0,,14.0,7.0,0.0,185.0,1
1383,Mukaali Riders,Astra Militarum,8.0,6.0,4.0,,5.0,7.0,2.0,110.0,2
1394,Ministorum Priest,Astra Militarum,6.0,3.0,6.0,4.0,3.0,7.0,1.0,35.0,1
1396,Tech-Priest Enginseer,Astra Militarum,6.0,4.0,3.0,5.0,3.0,7.0,1.0,45.0,1
1397,Munitorum Servitors,Astra Militarum,6.0,3.0,4.0,6.0,1.0,8.0,0.0,35.0,4
1398,Ogryn Bodyguard,Astra Militarum,6.0,6.0,5.0,,6.0,7.0,1.0,40.0,1
1406,Sly Marbo,Astra Militarum,6.0,3.0,5.0,,4.0,7.0,1.0,55.0,1
1596,Rein And Raus,Astra Militarum,6.0,2.0,6.0,,1.0,8.0,1.0,50.0,1
1994,Carnodon,Astra Militarum,12.0,10.0,2.0,,12.0,7.0,3.0,160.0,1
2374,Death Korps Grenadier Squad,Astra Militarum,6.0,3.0,4.0,,2.0,7.0,1.0,110.0,9
2375,Quartermaster Cadre Squad,Astra Militarum,6.0,3.0,4.0,,3.0,7.0,1.0,45.0,4
2377,Elysian Sniper Squad,Astra Militarum,6.0,3.0,5.0,,2.0,7.0,2.0,65.0,3
2378,Death Rider Commissar,Astra Militarum,12.0,4.0,4.0,5.0,4.0,6.0,1.0,35.0,1
2379,Storm Chimera,Astra Militarum,10.0,9.0,3.0,,11.0,7.0,2.0,90.0,1
2485,Gaunt’s Ghosts,Astra Militarum,6.0,3.0,4.0,5.0,3.0,6.0,1.0,100.0,5
2605,Lord Solar Leontus,Astra Militarum,12.0,4.0,3.0,4.0,8.0,6.0,2.0,130.0,1
2606,Ursula Creed,Astra Militarum,6.0,3.0,4.0,5.0,4.0,7.0,1.0,85.0,1
2607,Cadian Castellan,Astra Militarum,6.0,3.0,5.0,5.0,4.0,7.0,1.0,55.0,1
2609,Cadian Command Squad,Astra Militarum,6.0,3.0,5.0,,3.0,7.0,1.0,65.0,4
2610,Regimental Attachés,Astra Militarum,6.0,3.0,5.0,,1.0,7.0,1.0,40.0,1
2612,Cadian Shock Troops,Astra Militarum,6.0,3.0,5.0,,1.0,7.0,2.0,120.0,18
2613,Death Korps Of Krieg,Astra Militarum,6.0,3.0,5.0,,1.0,7.0,2.0,145.0,18
2614,Catachan Jungle Fighters,Astra Militarum,6.0,3.0,5.0,,1.0,7.0,2.0,120.0,18
2615,Kasrkin,Astra Militarum,6.0,3.0,4.0,,1.0,7.0,1.0,110.0,9
